id_run,data,modelo,dataset,combinacao,fold,acuracia,precisao,recall,f1,auc,perda_treino
37,20260812,resnet50,CR,mtf,1,0.6666666666666666,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.662962962962963,0.12290723262620824
38,20260812,resnet50,CR,mtf,2,0.696969696969697,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6925925925925925,0.04453942059938397
39,20260812,resnet50,CR,mtf,3,0.5757575757575758,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5888888888888889,0.04586034088528582
40,20260812,resnet50,CR,mtf,4,0.5757575757575758,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.7592592592592593,0.06430427597037383
41,20260812,resnet50,CR,mtf,5,0.5757575757575758,0.631578947368421,0.631578947368421,0.631578947368421,0.618421052631579,0.06597728352062404
42,20260812,resnet50,CR,mtf,media,0.6181818181818182,0.6441102756892232,0.715204678362573,0.6726534314635002,0.6644249512670566,
43,20260812,resnet50,CR,gasf,1,0.8484848484848485,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.962962962962963,0.12479813047684729
44,20260812,resnet50,CR,gasf,2,0.7575757575757576,0.7272727272727273,0.8888888888888888,0.8,0.7629629629629628,0.07536338268047464
45,20260812,resnet50,CR,gasf,3,0.8787878787878788,0.85,0.9444444444444444,0.8947368421052632,0.9370370370370371,0.0904030555726162
46,20260812,resnet50,CR,gasf,4,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8555555555555556,0.05756213712239904
47,20260812,resnet50,CR,gasf,5,0.8484848484848485,0.9375,0.7894736842105263,0.8571428571428571,0.9699248120300752,0.17729229912427918
48,20260812,resnet50,CR,gasf,media,0.8303030303030303,0.8460918003565062,0.8578947368421053,0.8484711779448622,0.8976886661097188,
49,20260812,resnet50,CR,gadf,1,0.9090909090909091,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9740740740740741,0.0649991445908589
50,20260812,resnet50,CR,gadf,2,0.8787878787878788,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9703703703703704,0.0040017835854087025
51,20260812,resnet50,CR,gadf,3,0.8181818181818182,0.875,0.7777777777777778,0.8235294117647058,0.9148148148148149,0.013771568998760943
